model,domain,horizon_s,target,MAE,RMSE,WAPE,R2,seed
ca_dtnet,cicv5g,30,vehicle_count,1.549523017148207,2.8120519374545077,0.34748604787155873,0.7778485898733752,42
ca_dtnet,cicv5g,30,flow_proxy,13701.506453465963,23963.79156109087,0.4304931881979868,0.7405111749164757,42
ca_dtnet,see_v2x,5,speed_mean_kmh,3.788971523453027,7.802714431299258,0.4799374936548074,0.4737844813418177,42
ca_dtnet,see_v2x,5,vehicle_count,0.9205037971998626,1.6483647523154286,0.20419450599342237,0.9285647612412217,42
ca_dtnet,see_v2x,5,flow_proxy,13033.40559626,22360.57292148016,0.4062999220548521,0.7718798608663731,42
ca_dtnet,see_v2x,10,speed_mean_kmh,4.177294642762706,8.06955626833416,0.5212299050207877,0.4409366605467714,42
ca_dtnet,see_v2x,10,vehicle_count,1.2110987303844412,2.126142813146128,0.2668472439538075,0.8791330434780311,42
ca_dtnet,see_v2x,10,flow_proxy,16125.056207783497,28097.409163795655,0.49255350343289955,0.6514237036976107,42
ca_dtnet,see_v2x,30,speed_mean_kmh,4.216088970551712,8.162981768845581,0.5359765333877194,0.4201705944096926,42
ca_dtnet,see_v2x,30,vehicle_count,1.5357303182210627,2.7796518294586376,0.34439298607987495,0.782938299574063,42
ca_dtnet,see_v2x,30,flow_proxy,13706.154993394734,23943.500072357434,0.43063924255932284,0.7409504363994542,42
dcrnn,clean,5,speed_mean_kmh,3.902104903131681,7.446532539918625,0.49426775461232136,0.5207298182763564,52
dcrnn,clean,5,vehicle_count,1.1174277157494243,1.9144776634498428,0.2478779567177283,0.9036378525966121,52
dcrnn,clean,5,flow_proxy,14041.746413161705,23000.899603567268,0.4377336706853291,0.758627705545351,52
dcrnn,clean,10,speed_mean_kmh,4.36480303047598,7.734809430548081,0.5446266216703349,0.48635751075659484,52
dcrnn,clean,10,vehicle_count,1.4605562197227795,2.46601557655577,0.32181141974188826,0.8374023172451004,52
dcrnn,clean,10,flow_proxy,17183.89621969,27904.136139073482,0.5248966686733244,0.656202698452654,52
dcrnn,clean,30,speed_mean_kmh,4.337441947471211,7.7715518785949165,0.5514037096973032,0.4744451063802936,52
dcrnn,clean,30,vehicle_count,1.6396827751538876,2.7332885231433344,0.3677046942806385,0.7901188889461088,52
dcrnn,clean,30,flow_proxy,15576.729984018755,25862.316256147915,0.48941159684109975,0.6977666192543077,52
dcrnn,cicv5g,5,speed_mean_kmh,3.902104903131681,7.446532539918625,0.49426775461232136,0.5207298182763564,52
dcrnn,cicv5g,5,vehicle_count,1.1174277157494243,1.9144776634498428,0.2478779567177283,0.9036378525966121,52
dcrnn,cicv5g,5,flow_proxy,14041.746413161705,23000.899603567268,0.4377336706853291,0.758627705545351,52
dcrnn,cicv5g,10,speed_mean_kmh,4.36480303047598,7.734809430548081,0.5446266216703349,0.48635751075659484,52
dcrnn,cicv5g,10,vehicle_count,1.4605562197227795,2.46601557655577,0.32181141974188826,0.8374023172451004,52
dcrnn,cicv5g,10,flow_proxy,17183.89621969,27904.136139073482,0.5248966686733244,0.656202698452654,52
dcrnn,cicv5g,30,speed_mean_kmh,4.337441947471211,7.7715518785949165,0.5514037096973032,0.4744451063802936,52
dcrnn,cicv5g,30,vehicle_count,1.6396827751538876,2.7332885231433344,0.3677046942806385,0.7901188889461088,52
dcrnn,cicv5g,30,flow_proxy,15576.729984018755,25862.316256147915,0.48941159684109975,0.6977666192543077,52
dcrnn,see_v2x,5,speed_mean_kmh,3.9065397441940863,7.446396088377113,0.49482950243519985,0.5207473825737181,52
dcrnn,see_v2x,5,vehicle_count,1.118214078571508,1.9202229312383776,0.24805239485527364,0.9030586271954484,52
dcrnn,see_v2x,5,flow_proxy,14047.097671161082,23010.291766481256,0.43790048937995074,0.7584305418860748,52
dcrnn,see_v2x,10,speed_mean_kmh,4.370061074745766,7.741659593591458,0.5452827041710232,0.48544731564830546,52
dcrnn,see_v2x,10,vehicle_count,1.463516315092706,2.470465999160425,0.3224636318790891,0.8368149070305001,52
dcrnn,see_v2x,10,flow_proxy,17194.18405044079,27923.99434091504,0.5252109191797245,0.6557131921309327,52
dcrnn,see_v2x,30,speed_mean_kmh,4.336085339582555,7.764824729502651,0.5512312489170856,0.47535456590678926,52
dcrnn,see_v2x,30,vehicle_count,1.6387840618240426,2.7322035166606655,0.3675031546199163,0.7902854847268389,52
dcrnn,see_v2x,30,flow_proxy,15568.975157976794,25844.707931744524,0.48916794481655324,0.6981780295613148,52
graph_wavenet,clean,5,speed_mean_kmh,3.930790302641698,7.821334792990851,0.49790124688327353,0.47126996803795607,52
graph_wavenet,clean,5,vehicle_count,1.021776270337309,1.811930495275076,0.22665968504639158,0.9136844721362656,52
graph_wavenet,clean,5,flow_proxy,13770.843869307368,23504.090670884925,0.4292886267833682,0.7479511723449639,52
graph_wavenet,clean,10,speed_mean_kmh,4.582889106051126,8.396637732996316,0.5718387276335404,0.3946974013498249,52
graph_wavenet,clean,10,vehicle_count,1.3180832398224063,2.3556539446406455,0.2904196586323439,0.8516301343946198,52
graph_wavenet,clean,10,flow_proxy,16702.71268861436,28901.7116894492,0.5101985100454421,0.6311817284668251,52
graph_wavenet,clean,30,speed_mean_kmh,4.75840741048488,8.254774947305137,0.6049195655338315,0.40705684720780533,52
graph_wavenet,clean,30,vehicle_count,1.6255896417950115,2.85352685335468,0.3645442589990668,0.7712472484271692,52
graph_wavenet,clean,30,flow_proxy,15623.972823138622,26549.679606119593,0.4908959387637422,0.6814877339663721,52
graph_wavenet,cicv5g,5,speed_mean_kmh,3.930790302641698,7.821334792990851,0.49790124688327353,0.47126996803795607,52
graph_wavenet,cicv5g,5,vehicle_count,1.021776270337309,1.811930495275076,0.22665968504639158,0.9136844721362656,52
graph_wavenet,cicv5g,5,flow_proxy,13770.843869307368,23504.090670884925,0.4292886267833682,0.7479511723449639,52
graph_wavenet,cicv5g,10,speed_mean_kmh,4.582889106051126,8.396637732996316,0.5718387276335404,0.3946974013498249,52
graph_wavenet,cicv5g,10,vehicle_count,1.3180832398224063,2.3556539446406455,0.2904196586323439,0.8516301343946198,52
graph_wavenet,cicv5g,10,flow_proxy,16702.71268861436,28901.7116894492,0.5101985100454421,0.6311817284668251,52
graph_wavenet,cicv5g,30,speed_mean_kmh,4.75840741048488,8.254774947305137,0.6049195655338315,0.40705684720780533,52
graph_wavenet,cicv5g,30,vehicle_count,1.6255896417950115,2.85352685335468,0.3645442589990668,0.7712472484271692,52
graph_wavenet,cicv5g,30,flow_proxy,15623.972823138622,26549.679606119593,0.4908959387637422,0.6814877339663721,52
graph_wavenet,see_v2x,5,speed_mean_kmh,3.9333801777787385,7.823009189475417,0.4982292984863158,0.47104356206162723,52
graph_wavenet,see_v2x,5,vehicle_count,1.0237266135411447,1.81580397776503,0.22709232787549924,0.9133150329566462,52
graph_wavenet,see_v2x,5,flow_proxy,13768.300947150534,23521.40589234493,0.42920935440390584,0.7475796720056196,52
graph_wavenet,see_v2x,10,speed_mean_kmh,4.58354027840366,8.396847555952757,0.5719199789055932,0.3946671492485182,52
graph_wavenet,see_v2x,10,vehicle_count,1.3198552350158066,2.357508810862108,0.29081009090825605,0.8513963864769836,52
