model,domain,horizon_s,target,sample_index,absolute_error,seed
dcrnn,clean,10,speed_mean_kmh,40,4.4365586707606495,42
dcrnn,clean,10,speed_mean_kmh,41,4.400468755722522,42
dcrnn,clean,10,speed_mean_kmh,42,4.7959104901061504,42
dcrnn,clean,10,speed_mean_kmh,43,4.40083542981428,42
dcrnn,clean,10,speed_mean_kmh,44,5.374145895981638,42
dcrnn,clean,10,speed_mean_kmh,45,6.11512923521844,42
dcrnn,clean,10,speed_mean_kmh,46,4.810519109063337,42
dcrnn,clean,10,speed_mean_kmh,47,3.803262361892373,42
dcrnn,clean,10,speed_mean_kmh,48,4.035979648768666,42
dcrnn,clean,10,speed_mean_kmh,49,3.6194095092677974,42
dcrnn,clean,10,speed_mean_kmh,50,4.044250922228627,42
dcrnn,clean,10,speed_mean_kmh,51,4.326274097935607,42
dcrnn,clean,10,speed_mean_kmh,52,4.854922458325168,42
dcrnn,clean,10,speed_mean_kmh,53,4.602549264501487,42
dcrnn,clean,10,speed_mean_kmh,54,5.323035552285534,42
dcrnn,clean,10,speed_mean_kmh,55,5.662598749743981,42
dcrnn,clean,10,speed_mean_kmh,56,4.7976539893896435,42
dcrnn,clean,10,speed_mean_kmh,57,6.031681333117601,42
dcrnn,clean,10,speed_mean_kmh,58,4.597878706640051,42
dcrnn,clean,10,speed_mean_kmh,59,4.431640953337301,42
dcrnn,clean,10,speed_mean_kmh,60,4.437955455301393,42
dcrnn,clean,10,speed_mean_kmh,61,5.475606699353855,42
dcrnn,clean,10,speed_mean_kmh,62,4.839836278345364,42
dcrnn,clean,10,speed_mean_kmh,63,3.7015360486876707,42
dcrnn,clean,10,speed_mean_kmh,64,4.472619258676827,42
dcrnn,clean,10,speed_mean_kmh,65,3.2456376690965416,42
dcrnn,clean,10,speed_mean_kmh,66,3.921686239410275,42
dcrnn,clean,10,speed_mean_kmh,67,4.017017338543533,42
dcrnn,clean,10,speed_mean_kmh,68,3.984860150522229,42
dcrnn,clean,10,speed_mean_kmh,69,4.178688471246064,42
dcrnn,clean,10,speed_mean_kmh,70,4.393064527880386,42
dcrnn,clean,10,speed_mean_kmh,71,4.20557711369075,42
dcrnn,clean,10,speed_mean_kmh,72,5.0797393565428415,42
dcrnn,clean,10,speed_mean_kmh,73,5.282739226509795,42
dcrnn,clean,10,vehicle_count,0,0.9113109725984745,42
dcrnn,clean,10,vehicle_count,1,0.8976151189683083,42
dcrnn,clean,10,vehicle_count,2,0.9145130321453213,42
dcrnn,clean,10,vehicle_count,3,0.8949609901729044,42
dcrnn,clean,10,vehicle_count,4,1.0129025030022079,42
dcrnn,clean,10,vehicle_count,5,1.0287564895917762,42
dcrnn,clean,10,vehicle_count,6,1.1253308776779432,42
dcrnn,clean,10,vehicle_count,7,1.1791190124803554,42
dcrnn,clean,10,vehicle_count,8,1.3779239934837686,42
dcrnn,clean,10,vehicle_count,9,1.4337930393709422,42
dcrnn,clean,10,vehicle_count,10,1.2861086104598427,42
dcrnn,clean,10,vehicle_count,11,1.2515076722081202,42
dcrnn,clean,10,vehicle_count,12,1.2266537827942985,42
dcrnn,clean,10,vehicle_count,13,1.1964188142908612,42
dcrnn,clean,10,vehicle_count,14,1.2022524551356895,42
dcrnn,clean,10,vehicle_count,15,1.2993673022494996,42
dcrnn,clean,10,vehicle_count,16,1.428882606702882,42
dcrnn,clean,10,vehicle_count,17,1.5656167623978414,42
dcrnn,clean,10,vehicle_count,18,1.276026863627721,42
dcrnn,clean,10,vehicle_count,19,1.02154488497145,42
dcrnn,clean,10,vehicle_count,20,1.2147353850384368,42
dcrnn,clean,10,vehicle_count,21,1.2470022433555448,42
dcrnn,clean,10,vehicle_count,22,1.1686957860689238,42
dcrnn,clean,10,vehicle_count,23,0.936887364075638,42
