model,domain,horizon_s,target,seed_count,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,R2_mean,R2_std,MAE_mean_std,RMSE_mean_std,WAPE_mean_std,R2_mean_std
dcrnn,see_v2x,30,speed_mean_kmh,3,4.358801566831876,0.02416086304474693,7.7087396908003845,0.0494659042795803,0.554119082835625,0.0030714853763354213,0.48289198863741545,0.006646580174474124,4.358802 ± 0.024161,7.708740 ± 0.049466,0.554119 ± 0.003071,0.482892 ± 0.006647
dcrnn,see_v2x,30,vehicle_count,3,1.6174380412577631,0.04486204405955139,2.736263287573738,0.10040813989673489,0.3627162335853306,0.010060472943721503,0.7894729732538698,0.015454873517202442,1.617438 ± 0.044862,2.736263 ± 0.100408,0.362716 ± 0.010060,0.789473 ± 0.015455
graph_gru,cicv5g,5,flow_proxy,3,13917.956859439582,188.9659744453676,23101.26788471157,465.19627424016403,0.4338746880382352,0.005890775064209121,0.7564507492970826,0.009749205621473122,13917.956859 ± 188.965974,23101.267885 ± 465.196274,0.433875 ± 0.005891,0.756451 ± 0.009749
graph_gru,cicv5g,5,speed_mean_kmh,3,3.96903142541016,0.03256294206873038,7.4912379558250635,0.11997441374830532,0.5027451335428691,0.0041246487881362055,0.5148749880136824,0.015605564734422574,3.969031 ± 0.032563,7.491238 ± 0.119974,0.502745 ± 0.004125,0.514875 ± 0.015606
graph_gru,cicv5g,5,vehicle_count,3,1.0374569108098275,0.007705986611278883,1.7111613990407741,0.021769521954335215,0.2301381070199744,0.0017094118830021643,0.9230099379358903,0.001959572568889457,1.037457 ± 0.007706,1.711161 ± 0.021770,0.230138 ± 0.001709,0.923010 ± 0.001960
graph_gru,cicv5g,10,flow_proxy,3,17201.621771425594,560.692009882523,28715.90313522288,1109.1260352575796,0.5254381106686358,0.017126812474685463,0.6355466297382576,0.028270032390637974,17201.621771 ± 560.692010,28715.903135 ± 1109.126035,0.525438 ± 0.017127,0.635547 ± 0.028270
graph_gru,cicv5g,10,speed_mean_kmh,3,4.450312372844496,0.044486364114907403,7.952354458270343,0.15526606812980653,0.5552962129280047,0.005550870916540976,0.45692035952014204,0.021280476812637335,4.450312 ± 0.044486,7.952354 ± 0.155266,0.555296 ± 0.005551,0.456920 ± 0.021280
graph_gru,cicv5g,10,vehicle_count,3,1.3415635876095695,0.007399213534156979,2.2740066165834465,0.0505060775269868,0.29559319728521033,0.001630304523883667,0.8616914691556098,0.006157024126729966,1.341564 ± 0.007399,2.274007 ± 0.050506,0.295593 ± 0.001630,0.861691 ± 0.006157
graph_gru,cicv5g,30,flow_proxy,3,15878.601586395132,375.618239505016,26422.1123178741,626.8530474164183,0.49889622314659404,0.011801701806951694,0.6844228176850202,0.014881303468155123,15878.601586 ± 375.618240,26422.112318 ± 626.853047,0.498896 ± 0.011802,0.684423 ± 0.014881
graph_gru,cicv5g,30,speed_mean_kmh,3,4.395455497656904,0.11529507788588811,7.790709609368289,0.039319181340507436,0.5587787678934716,0.0146570569533923,0.4718418428779067,0.005323510959749176,4.395455 ± 0.115295,7.790710 ± 0.039319,0.558779 ± 0.014657,0.471842 ± 0.005324
graph_gru,cicv5g,30,vehicle_count,3,1.605996255145109,0.03878342561591124,2.7645832372866135,0.04483303240880777,0.3601503723539208,0.008697321137569514,0.7852476741515272,0.006984070998956842,1.605996 ± 0.038783,2.764583 ± 0.044833,0.360150 ± 0.008697,0.785248 ± 0.006984
graph_gru,clean,5,flow_proxy,3,13917.956859439582,188.9659744453676,23101.26788471157,465.19627424016403,0.4338746880382352,0.005890775064209121,0.7564507492970826,0.009749205621473122,13917.956859 ± 188.965974,23101.267885 ± 465.196274,0.433875 ± 0.005891,0.756451 ± 0.009749
graph_gru,clean,5,speed_mean_kmh,3,3.96903142541016,0.03256294206873038,7.4912379558250635,0.11997441374830532,0.5027451335428691,0.0041246487881362055,0.5148749880136824,0.015605564734422574,3.969031 ± 0.032563,7.491238 ± 0.119974,0.502745 ± 0.004125,0.514875 ± 0.015606
graph_gru,clean,5,vehicle_count,3,1.0374569108098275,0.007705986611278883,1.7111613990407741,0.021769521954335215,0.2301381070199744,0.0017094118830021643,0.9230099379358903,0.001959572568889457,1.037457 ± 0.007706,1.711161 ± 0.021770,0.230138 ± 0.001709,0.923010 ± 0.001960
graph_gru,clean,10,flow_proxy,3,17201.621771425594,560.692009882523,28715.90313522288,1109.1260352575796,0.5254381106686358,0.017126812474685463,0.6355466297382576,0.028270032390637974,17201.621771 ± 560.692010,28715.903135 ± 1109.126035,0.525438 ± 0.017127,0.635547 ± 0.028270
graph_gru,clean,10,speed_mean_kmh,3,4.450312372844496,0.044486364114907403,7.952354458270343,0.15526606812980653,0.5552962129280047,0.005550870916540976,0.45692035952014204,0.021280476812637335,4.450312 ± 0.044486,7.952354 ± 0.155266,0.555296 ± 0.005551,0.456920 ± 0.021280
graph_gru,clean,10,vehicle_count,3,1.3415635876095695,0.007399213534156979,2.2740066165834465,0.0505060775269868,0.29559319728521033,0.001630304523883667,0.8616914691556098,0.006157024126729966,1.341564 ± 0.007399,2.274007 ± 0.050506,0.295593 ± 0.001630,0.861691 ± 0.006157
graph_gru,clean,30,flow_proxy,3,15878.601586395132,375.618239505016,26422.1123178741,626.8530474164183,0.49889622314659404,0.011801701806951694,0.6844228176850202,0.014881303468155123,15878.601586 ± 375.618240,26422.112318 ± 626.853047,0.498896 ± 0.011802,0.684423 ± 0.014881
