domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_mean_ms,impaired_gru,30,speed_mean_kmh,Q1-mild,19,3.6517836831555086,4.166428029086745,12.35217171887225
cicv5g,latency_mean_ms,impaired_gru,30,speed_mean_kmh,Q2-moderate,18,4.39159240439266,4.874857741028701,9.913424377030521
cicv5g,latency_mean_ms,impaired_gru,30,speed_mean_kmh,Q3-high,19,4.806229708204122,4.791366336338025,-0.31021155118846144
cicv5g,latency_mean_ms,impaired_gru,30,speed_mean_kmh,Q4-severe,18,4.054581132889005,4.614290677836445,12.129915144333424
cicv5g,latency_mean_ms,impaired_gru,30,vehicle_count,Q1-mild,19,1.9167902655808295,1.765495270071992,-8.569549701807656
cicv5g,latency_mean_ms,impaired_gru,30,vehicle_count,Q2-moderate,18,1.9599797761612057,2.0907871308178545,6.256368814545168
cicv5g,latency_mean_ms,impaired_gru,30,vehicle_count,Q3-high,19,1.4246623216960135,1.3060039272464687,-9.085607712616838
cicv5g,latency_mean_ms,impaired_gru,30,vehicle_count,Q4-severe,18,1.0330398200175293,1.1886462329043523,13.091061685990994
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q1-mild,19,13021.156498031565,15000.038725946637,13.192514126585145
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q2-moderate,18,14789.066554932102,15280.93168330899,3.2188163560329217
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q3-high,19,14269.807336337626,14392.19669840702,0.8503869467185352
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q4-severe,18,10360.746784320228,9275.639442829848,-11.698464005390033
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q1-mild,19,3.607514404245196,4.044272140628883,10.799415076845689
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q2-moderate,18,4.516134296801653,4.666618653580207,3.2246979585665114
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q3-high,19,3.945838957631851,4.167647911405651,5.322161515481114
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q4-severe,18,2.9469533635852936,2.917685519653359,-1.0031185209809679
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q1-mild,19,1.0339920138461944,1.1215291079908714,7.805155723597489
