domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_p95_ms,persistence,10,speed_mean_kmh,Q1-mild,19,4.304547688555816,5.099902469545169,15.595489995728034
cicv5g,latency_p95_ms,persistence,10,speed_mean_kmh,Q2-moderate,25,4.907701419330754,6.102264736355324,19.575737315199934
cicv5g,latency_p95_ms,persistence,10,speed_mean_kmh,Q3-high,12,3.4631010470195154,5.3518124626659045,35.29106121137244
cicv5g,latency_p95_ms,persistence,10,speed_mean_kmh,Q4-severe,18,3.5382123419998304,4.323304013236689,18.159529540767558
cicv5g,latency_p95_ms,persistence,10,vehicle_count,Q1-mild,19,1.371064820582939,1.6773080906397428,18.258021286607956
cicv5g,latency_p95_ms,persistence,10,vehicle_count,Q2-moderate,25,1.513679837044704,1.6255738291566229,6.883353399066233
cicv5g,latency_p95_ms,persistence,10,vehicle_count,Q3-high,12,0.9055347370098522,1.2076503090345356,25.016808861211732
cicv5g,latency_p95_ms,persistence,10,vehicle_count,Q4-severe,18,1.0738369171852737,1.305100215233117,17.719964610881515
cicv5g,latency_p95_ms,persistence,30,flow_proxy,Q1-mild,19,14825.536062410003,32530.6631620049,54.42596424000558
cicv5g,latency_p95_ms,persistence,30,flow_proxy,Q2-moderate,25,15041.240650563142,26778.429584954803,43.83075899634421
cicv5g,latency_p95_ms,persistence,30,flow_proxy,Q3-high,12,15653.37584022248,32377.542389936425,51.65360096913032
cicv5g,latency_p95_ms,persistence,30,flow_proxy,Q4-severe,18,13867.483742588922,26701.381009980872,48.06454491095379
cicv5g,latency_p95_ms,persistence,30,speed_mean_kmh,Q1-mild,19,3.6517836831555086,7.755692463570392,52.91479509276647
