domain,communication_metric,model,horizon_s,target,samples,severity_error_rho,p_value
cicv5g,aoi_p95_s,historical_average,30,flow_proxy,74,0.4170215539700106,0.00021886413298782977
cicv5g,aoi_p95_s,historical_average,30,speed_mean_kmh,74,-0.015173336894742913,0.8979027272664852
cicv5g,aoi_p95_s,historical_average,30,vehicle_count,74,-0.6673295983560585,8.42703689890107e-11
cicv5g,aoi_p95_s,impaired_gru,5,flow_proxy,74,-0.5081210203409942,3.809707674896385e-06
cicv5g,aoi_p95_s,impaired_gru,5,speed_mean_kmh,74,-0.47298902384817115,2.0852674030087545e-05
cicv5g,aoi_p95_s,impaired_gru,5,vehicle_count,74,-0.7250952795606282,2.767294415422579e-13
cicv5g,aoi_p95_s,impaired_gru,10,flow_proxy,74,-0.6869018654377201,1.4068817285532484e-11
cicv5g,aoi_p95_s,impaired_gru,10,speed_mean_kmh,74,-0.5593626125183433,2.213232786392751e-07
cicv5g,aoi_p95_s,impaired_gru,10,vehicle_count,74,-0.7230741494747468,3.462637776791273e-13
cicv5g,aoi_p95_s,impaired_gru,30,flow_proxy,74,-0.038133969120382284,0.7470183661065477
cicv5g,aoi_p95_s,impaired_gru,30,speed_mean_kmh,74,0.15540409785340514,0.18612628057467837
cicv5g,aoi_p95_s,impaired_gru,30,vehicle_count,74,-0.7006633835224721,3.667585951564289e-12
cicv5g,aoi_p95_s,persistence,5,flow_proxy,74,-0.3254316663281884,0.004665554368144084
cicv5g,aoi_p95_s,persistence,5,speed_mean_kmh,74,-0.230230494782916,0.04845036512268256
cicv5g,aoi_p95_s,persistence,5,vehicle_count,74,-0.5838836760602882,4.747945892858001e-08
cicv5g,aoi_p95_s,persistence,10,flow_proxy,74,-0.3020846415861304,0.008901678215850898
cicv5g,aoi_p95_s,persistence,10,speed_mean_kmh,74,-0.1735645461250759,0.13916980830010187
cicv5g,aoi_p95_s,persistence,10,vehicle_count,74,-0.7202505118547652,4.720523368254196e-13
cicv5g,aoi_p95_s,persistence,30,flow_proxy,74,-0.29364345122744884,0.011108782860145784
cicv5g,aoi_p95_s,persistence,30,speed_mean_kmh,74,-0.32783918893048847,0.004352375692106667
cicv5g,aoi_p95_s,persistence,30,vehicle_count,74,-0.4412899762512205,8.302008379629793e-05
see_v2x,latency_mean_ms,ca_dtnet,5,flow_proxy,74,0.11383931877082559,0.33416678158003965
see_v2x,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,74,0.08570159200296185,0.46782705697745774
see_v2x,latency_mean_ms,ca_dtnet,5,vehicle_count,74,-0.20598296927064047,0.0782891857453144
see_v2x,latency_mean_ms,ca_dtnet,10,flow_proxy,74,-0.05960755275823768,0.613922105907232
see_v2x,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,74,-0.038933728248796734,0.7418960095600511
