domain,communication_metric,model,horizon_s,target,severity,samples,communication_mean,MAE,MAE_CI_lower,MAE_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q3-high,19,289.82927430382347,15338.181143617809,14593.924868928494,16023.07000819965,24792.79662398921,23331.131067285834,26164.30006479017
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q4-severe,18,408.3732159313111,15124.70784915353,14408.370022445908,15857.684554508582,24693.401567321158,23518.68876725011,25768.236198911076
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.131304464041494,3.9323478946090256,4.354042849033607,6.370213231928595,6.0322349424530906,6.767840816483736
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.683134475864076,4.295685955785189,5.09840462241336,8.02829419757907,7.025255142650875,9.07820346044758
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q3-high,19,289.82927430382347,4.852953227179999,4.598268478808051,5.120378849819438,8.430561775330641,7.741388609107869,9.189866253371205
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q4-severe,18,408.3732159313111,4.4837645223193,4.101626722998067,4.892791813701801,7.0263734965773645,6.3616469918567375,7.834735014002917
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q1-mild,19,171.60300600140215,1.797326300138525,1.7493247514036094,1.851401646899191,3.022025435267688,2.948317370219379,3.105216372184259
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q2-moderate,18,194.70449187218318,1.9791041069199042,1.8835458829123004,2.0611337633551368,3.3096438795376963,3.157848782227269,3.458051240463222
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q3-high,19,289.82927430382347,1.35278364777941,1.3026611218104047,1.4005616952535953,2.2799238333783562,2.1677893443801075,2.3910703563208253
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q4-severe,18,408.3732159313111,1.244941356437102,1.1828081978005889,1.3076451164855172,2.0266302912616094,1.9079385032019058,2.15627209063169
cicv5g,latency_mean_ms,historical_average,5,flow_proxy,Q1-mild,19,171.60300600140215,18894.9948628247,18155.427423614692,19641.66946194075,30905.798087374522,29927.360529461985,31819.248550621855
cicv5g,latency_mean_ms,historical_average,5,flow_proxy,Q2-moderate,18,194.70449187218318,20192.0053082761,19257.425171491537,21152.003077551984,33897.551157614515,32441.953683292915,35211.44173573854
cicv5g,latency_mean_ms,historical_average,5,flow_proxy,Q3-high,19,289.82927430382347,18687.708808860145,17605.198118705783,19728.132155381776,30815.805485081037,29332.03066035102,32245.24693145474
cicv5g,latency_mean_ms,historical_average,5,flow_proxy,Q4-severe,18,408.3732159313111,17302.68644319418,16762.324975747237,17796.981798792476,27513.03121794106,26665.20958950647,28393.683511441952
cicv5g,latency_mean_ms,historical_average,5,speed_mean_kmh,Q1-mild,19,171.60300600140215,5.8677114314796235,5.552040056827947,6.214345813341878,9.410932799123048,8.670873807300609,10.157542850686545
cicv5g,latency_mean_ms,historical_average,5,speed_mean_kmh,Q2-moderate,18,194.70449187218318,5.68871529836414,5.149478930513916,6.303559666802181,9.382956267582225,8.130114585122598,10.602285316183321
