domain,communication_metric,model,horizon_s,target,mild_MAE,severe_MAE,relative_degradation_pct
cicv5g,aoi_p95_s,graph_gru,30,vehicle_count,1.7973263001385253,1.2372573151018997,-31.161229982409782
cicv5g,aoi_p95_s,historical_average,5,flow_proxy,18894.9948628247,17346.353558098766,-8.196039829426027
cicv5g,aoi_p95_s,historical_average,5,speed_mean_kmh,5.867711431479623,5.266798345294397,-10.241012909007283
cicv5g,aoi_p95_s,historical_average,5,vehicle_count,2.185443615274706,1.4249718507093112,-34.79713481375229
cicv5g,aoi_p95_s,historical_average,10,flow_proxy,19140.700091913048,17712.70329824916,-7.460525408192736
cicv5g,aoi_p95_s,historical_average,10,speed_mean_kmh,5.952751748782563,5.237321565848551,-12.018478376466513
cicv5g,aoi_p95_s,historical_average,10,vehicle_count,2.2416120737435037,1.3579492839886371,-39.42086127048107
cicv5g,aoi_p95_s,historical_average,30,flow_proxy,18083.658396055525,19259.92138508187,6.504563198795359
cicv5g,aoi_p95_s,historical_average,30,speed_mean_kmh,5.476322678003817,5.408065294167903,-1.2464090910025387
cicv5g,aoi_p95_s,historical_average,30,vehicle_count,1.931529423052972,1.3471056481183643,-30.257047339468627
cicv5g,aoi_p95_s,impaired_gru,5,flow_proxy,14975.636196224237,10136.870574172186,-32.31091860570707
cicv5g,aoi_p95_s,impaired_gru,5,speed_mean_kmh,4.093779208172694,2.8502263789734186,-30.376646197211134
cicv5g,aoi_p95_s,impaired_gru,5,vehicle_count,1.173483431740207,0.8102013723862738,-30.957578644246336
cicv5g,aoi_p95_s,impaired_gru,10,flow_proxy,19920.84873159578,12416.839405651011,-37.66912457921106
cicv5g,aoi_p95_s,impaired_gru,10,speed_mean_kmh,4.988956326452173,3.2452704878659233,-34.950913998703136
cicv5g,aoi_p95_s,impaired_gru,10,vehicle_count,1.5369576874260336,1.072679289388137,-30.20762372415524
cicv5g,aoi_p95_s,impaired_gru,30,flow_proxy,14726.77147378934,15510.177819249071,5.319606859205379
cicv5g,aoi_p95_s,impaired_gru,30,speed_mean_kmh,4.166428029086746,4.487723883866908,7.711542159518189
cicv5g,aoi_p95_s,impaired_gru,30,vehicle_count,1.765495270071992,1.2057866497046068,-31.70264042532936
cicv5g,aoi_p95_s,persistence,5,flow_proxy,15676.616237423756,13841.897893140833,-11.703535485558739
cicv5g,aoi_p95_s,persistence,5,speed_mean_kmh,4.234218909753406,3.680528220708289,-13.07657207949379
cicv5g,aoi_p95_s,persistence,5,vehicle_count,1.1622088506597703,0.903688545165215,-22.243876659811114
cicv5g,aoi_p95_s,persistence,10,flow_proxy,21069.35965136427,17572.788899423125,-16.595524542736054
cicv5g,aoi_p95_s,persistence,10,speed_mean_kmh,5.099902469545169,4.325013297916894,-15.194195864258624
cicv5g,aoi_p95_s,persistence,10,vehicle_count,1.6773080906397428,1.2858606904154342,-23.3378351940831
