model,domain,sample_index,horizon_s,target,MAE,RMSE,source_file,start,latency_mean_ms,latency_p95_ms,aoi_mean_s,aoi_p95_s,packet_loss_mean,jitter_mean_ms,channel_busy_mean_pct,throughput_mean_bps,rsrp_mean_dbm,sinr_mean_db
historical_average,cicv5g,1,5,flow_proxy,18540.40209972236,29727.11718403631,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,10,speed_mean_kmh,4.7965853695685245,6.974592965666835,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,10,vehicle_count,1.4161186712090184,2.6366204862563256,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,10,flow_proxy,17451.674460856953,28904.57700022142,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,30,speed_mean_kmh,5.911809614018367,8.833257435547221,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,30,vehicle_count,1.3266488999907562,2.2931150129857083,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,30,flow_proxy,22891.152244568293,36882.17902418681,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,2,5,speed_mean_kmh,4.9591267586049534,7.047850783077879,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,5,vehicle_count,1.5248847279625506,2.939931115817638,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,5,flow_proxy,16325.43445013705,26587.235145634088,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,10,speed_mean_kmh,5.399488972978165,7.755151174430206,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,10,vehicle_count,1.4257808748529983,2.6389198681142516,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,10,flow_proxy,18299.88788660675,29293.016579904666,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,30,speed_mean_kmh,5.238811042242568,7.634271604473765,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,30,vehicle_count,1.2354822964368324,2.3206678963748133,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,2,30,flow_proxy,20190.97076385588,32603.20197371545,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
historical_average,cicv5g,3,5,speed_mean_kmh,5.498730283611171,8.088600566434149,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
historical_average,cicv5g,3,5,vehicle_count,1.547013779157075,2.7841562930655397,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
historical_average,cicv5g,3,5,flow_proxy,16936.881323616766,27007.294519714836,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
historical_average,cicv5g,3,10,speed_mean_kmh,5.308211563021239,7.577504741248622,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
