domain,communication_metric,horizon_s,target,severity,samples,PICP,MPIW,coverage_error_from_0_8
cicv5g,aoi_p95_s,30,flow_proxy,Q1-mild,19,0.7981018119068162,35996.91424765215,-0.0018981880931838724
cicv5g,aoi_p95_s,30,flow_proxy,Q2-moderate,18,0.8096539162112932,38370.0130088688,0.00965391621129319
cicv5g,aoi_p95_s,30,flow_proxy,Q3-high,21,0.8009367681498828,40016.02923463281,0.0009367681498827496
cicv5g,aoi_p95_s,30,flow_proxy,Q4-severe,16,0.8309426229508197,34598.13052555745,0.03094262295081962
cicv5g,aoi_p95_s,30,speed_mean_kmh,Q1-mild,19,0.8231233822260569,10.975760218179573,0.02312338222605681
cicv5g,aoi_p95_s,30,speed_mean_kmh,Q2-moderate,18,0.7987249544626595,11.94885418084108,-0.0012750455373405911
cicv5g,aoi_p95_s,30,speed_mean_kmh,Q3-high,21,0.78064012490242,11.33195748260442,-0.01935987509758008
cicv5g,aoi_p95_s,30,speed_mean_kmh,Q4-severe,16,0.8360655737704918,9.86015114673426,0.0360655737704918
cicv5g,aoi_p95_s,30,vehicle_count,Q1-mild,19,0.7161345987920621,3.7075552238304126,-0.08386540120793795
cicv5g,aoi_p95_s,30,vehicle_count,Q2-moderate,18,0.7204007285974499,3.670411163589644,-0.07959927140255019
cicv5g,aoi_p95_s,30,vehicle_count,Q3-high,21,0.7931303669008587,3.453471636198203,-0.006869633099141348
cicv5g,aoi_p95_s,30,vehicle_count,Q4-severe,16,0.8760245901639343,3.2507880117582673,0.07602459016393426
see_v2x,latency_mean_ms,5,flow_proxy,Q1-mild,19,0.8153580672993961,35562.734750334384,0.015358067299396039
see_v2x,latency_mean_ms,5,flow_proxy,Q2-moderate,18,0.8351548269581056,36062.979181092494,0.03515482695810557
see_v2x,latency_mean_ms,5,flow_proxy,Q3-high,19,0.817083692838654,33657.00306541944,0.017083692838653963
see_v2x,latency_mean_ms,5,flow_proxy,Q4-severe,18,0.8041894353369763,33116.97663812162,0.004189435336976244
see_v2x,latency_mean_ms,5,speed_mean_kmh,Q1-mild,19,0.7911993097497843,9.67330024092843,-0.008800690250215792
see_v2x,latency_mean_ms,5,speed_mean_kmh,Q2-moderate,18,0.7996357012750457,9.792570383263307,-0.00036429872495435944
see_v2x,latency_mean_ms,5,speed_mean_kmh,Q3-high,19,0.7722174288179464,9.641289015159888,-0.027782571182053628
see_v2x,latency_mean_ms,5,speed_mean_kmh,Q4-severe,18,0.802367941712204,9.289966644071866,0.0023679417122040025
see_v2x,latency_mean_ms,5,vehicle_count,Q1-mild,19,0.8041415012942191,2.6167578497983017,0.004141501294219085
see_v2x,latency_mean_ms,5,vehicle_count,Q2-moderate,18,0.814207650273224,2.6101398771475,0.014207650273223904
see_v2x,latency_mean_ms,5,vehicle_count,Q3-high,19,0.8015530629853322,2.470339439830756,0.0015530629853321987
see_v2x,latency_mean_ms,5,vehicle_count,Q4-severe,18,0.8397085610200364,2.4305974126231544,0.03970856102003639
see_v2x,latency_mean_ms,10,flow_proxy,Q1-mild,19,0.7687661777394305,37778.6565191295,-0.031233822260569588
see_v2x,latency_mean_ms,10,flow_proxy,Q2-moderate,18,0.7978142076502732,38397.72334576842,-0.002185792349726823
see_v2x,latency_mean_ms,10,flow_proxy,Q3-high,19,0.7730802415875755,36348.88441644459,-0.026919758412424555
see_v2x,latency_mean_ms,10,flow_proxy,Q4-severe,18,0.7905282331511838,35853.291137448454,-0.009471766848816232
see_v2x,latency_mean_ms,10,speed_mean_kmh,Q1-mild,19,0.7601380500431405,10.185353158268086,-0.039861949956859544
see_v2x,latency_mean_ms,10,speed_mean_kmh,Q2-moderate,18,0.7668488160291438,10.392893564328476,-0.03315118397085626
see_v2x,latency_mean_ms,10,speed_mean_kmh,Q3-high,19,0.7437446074201899,10.290658565731325,-0.05625539257981016
see_v2x,latency_mean_ms,10,speed_mean_kmh,Q4-severe,18,0.7996357012750456,10.060942408772515,-0.00036429872495447047
see_v2x,latency_mean_ms,10,vehicle_count,Q1-mild,19,0.7877480586712684,3.1409425803405733,-0.012251941328731641
see_v2x,latency_mean_ms,10,vehicle_count,Q2-moderate,18,0.7859744990892532,3.1155961447367804,-0.014025500910746835
see_v2x,latency_mean_ms,10,vehicle_count,Q3-high,19,0.7670405522001724,2.9299993730869263,-0.032959447799827624
see_v2x,latency_mean_ms,10,vehicle_count,Q4-severe,18,0.8415300546448088,2.8689789453901287,0.041530054644808745
see_v2x,latency_mean_ms,30,flow_proxy,Q1-mild,19,0.7860224331320104,36014.59738209816,-0.013977566867989677
see_v2x,latency_mean_ms,30,flow_proxy,Q2-moderate,18,0.8160291438979965,36776.03868444478,0.01602914389799648
see_v2x,latency_mean_ms,30,flow_proxy,Q3-high,19,0.818809318377912,37575.31339985471,0.018809318377912
see_v2x,latency_mean_ms,30,flow_proxy,Q4-severe,18,0.8105646630236794,39738.87369529964,0.01056466302367931
see_v2x,latency_mean_ms,30,speed_mean_kmh,Q1-mild,19,0.8075927523727351,10.800648894385308,0.0075927523727350454
see_v2x,latency_mean_ms,30,speed_mean_kmh,Q2-moderate,18,0.825136612021858,11.023834554985184,0.025136612021857907
see_v2x,latency_mean_ms,30,speed_mean_kmh,Q3-high,19,0.813632441760138,11.286760638941734,0.013632441760138003
see_v2x,latency_mean_ms,30,speed_mean_kmh,Q4-severe,18,0.7786885245901639,11.106320788280042,-0.021311475409836134
see_v2x,latency_mean_ms,30,vehicle_count,Q1-mild,19,0.727351164797239,3.637655306262819,-0.072648835202761
see_v2x,latency_mean_ms,30,vehicle_count,Q2-moderate,18,0.7568306010928962,3.6364591374520807,-0.043169398907103806
see_v2x,latency_mean_ms,30,vehicle_count,Q3-high,19,0.8041415012942191,3.421374823710078,0.004141501294219085
see_v2x,latency_mean_ms,30,vehicle_count,Q4-severe,18,0.8087431693989071,3.439833494309952,0.008743169398907069
see_v2x,latency_p95_ms,5,flow_proxy,S1,46,0.8125445473984318,34732.76292025405,0.012544547398431805
see_v2x,latency_p95_ms,5,flow_proxy,S2,16,0.8227459016393442,31847.47679763959,0.0227459016393442
see_v2x,latency_p95_ms,5,flow_proxy,S3,12,0.8319672131147541,37762.291679271424,0.031967213114754034
see_v2x,latency_p95_ms,5,speed_mean_kmh,S1,46,0.7761938702779758,9.697592403121645,-0.023806129722024227
see_v2x,latency_p95_ms,5,speed_mean_kmh,S2,16,0.8227459016393442,8.682722202712263,0.0227459016393442
