model,horizon_s,target,difficulty_quartile,paired_samples,delta_MAE_see_minus_cic,CI_lower,CI_upper
graph_gru,5,vehicle_count,Q4-very-hard,19,-0.0009593775094551546,-0.0032728170866727227,0.0009718426468460397
graph_gru,10,flow_proxy,Q1-easy,19,122.7994880055213,52.94351427851736,207.74532709050447
graph_gru,10,flow_proxy,Q2-moderate,18,31.102040057628578,-23.129637474414576,74.15279544261594
graph_gru,10,flow_proxy,Q3-hard,18,81.13795177573441,26.728710121807957,147.49804386634824
graph_gru,10,flow_proxy,Q4-very-hard,19,10.270892426739584,-59.636743802019154,84.25726854178357
graph_gru,10,speed_mean_kmh,Q1-easy,19,0.005983583820544145,-0.005206339474862769,0.01956372650693868
graph_gru,10,speed_mean_kmh,Q2-moderate,18,0.003017279972086969,-0.006582484473200346,0.01121425274328687
graph_gru,10,speed_mean_kmh,Q3-hard,18,0.008839678846191325,-0.00032004124801572424,0.01684968134585295
graph_gru,10,speed_mean_kmh,Q4-very-hard,19,0.005260782517036743,-0.006342588209754223,0.018414823841686502
graph_gru,10,vehicle_count,Q1-easy,19,0.012893679644252814,0.003490148900918237,0.02638059782951397
graph_gru,10,vehicle_count,Q2-moderate,18,0.0006925211831593657,-0.0024576676896283546,0.003880468313908952
graph_gru,10,vehicle_count,Q3-hard,18,0.0016868036498766238,-0.0002651391418673059,0.004013892219764073
graph_gru,10,vehicle_count,Q4-very-hard,19,-0.0015835957700156673,-0.005542757734286024,0.0015224296046907242
graph_gru,30,flow_proxy,Q1-easy,19,-20.443736883713427,-51.93119772076791,9.108615893652575
graph_gru,30,flow_proxy,Q2-moderate,18,30.405632749001697,-6.654502961099349,77.16918923353307
graph_gru,30,flow_proxy,Q3-hard,18,20.362145530407968,-5.603062631002494,55.32713556988059
graph_gru,30,flow_proxy,Q4-very-hard,19,58.174022143836595,3.721619937522448,118.77268087133717
graph_gru,30,speed_mean_kmh,Q1-easy,19,0.0033063848787045756,-0.0007103987648322984,0.007109448014145668
graph_gru,30,speed_mean_kmh,Q2-moderate,18,0.0035757107246875298,-0.0037663991936537056,0.010834588845614536
graph_gru,30,speed_mean_kmh,Q3-hard,18,-0.004136256134849519,-0.0171437089730642,0.005201060028179077
graph_gru,30,speed_mean_kmh,Q4-very-hard,19,0.004544137184306965,-0.013106447751490082,0.025321510027286373
graph_gru,30,vehicle_count,Q1-easy,19,0.0035594597585480595,-0.0027856983901065934,0.01261333786673081
graph_gru,30,vehicle_count,Q2-moderate,18,-0.008403651935556292,-0.02034588375180764,0.0001268837715853795
graph_gru,30,vehicle_count,Q3-hard,18,-0.005038254534472387,-0.015385612333723405,0.0009582421798253721
graph_gru,30,vehicle_count,Q4-very-hard,19,-0.01237945165524414,-0.028123946432648542,0.000105059979303788
impaired_gru,5,flow_proxy,Q1-easy,19,50.25878384913693,4.963504177897748,109.85483828229846
impaired_gru,5,flow_proxy,Q2-moderate,18,-14.643760603191165,-49.336257538587745,16.72675129884731
impaired_gru,5,flow_proxy,Q3-hard,18,-11.39999705750597,-50.82730570196063,27.31561201258032
impaired_gru,5,flow_proxy,Q4-very-hard,19,58.09059935227532,22.565009074013673,98.23778275955041
impaired_gru,5,speed_mean_kmh,Q1-easy,19,0.012760425856029281,-0.0011941902961886076,0.03513212724153708
impaired_gru,5,speed_mean_kmh,Q2-moderate,18,0.0010592555785482708,-0.0025544543066820455,0.004503255383501605
impaired_gru,5,speed_mean_kmh,Q3-hard,18,0.00011147685170096209,-0.003619858788970055,0.003961098181526417
impaired_gru,5,speed_mean_kmh,Q4-very-hard,19,0.004915590022221376,-0.0015447294472227164,0.012613672556085528
impaired_gru,5,vehicle_count,Q1-easy,19,0.0048462933504864044,-0.0025820810686136525,0.015918049146426732
impaired_gru,5,vehicle_count,Q2-moderate,18,-0.0005851656317863502,-0.003042260158578959,0.001986276389014057
impaired_gru,5,vehicle_count,Q3-hard,18,0.0011140242611747213,-0.0020337643297948537,0.00402503019766357
impaired_gru,5,vehicle_count,Q4-very-hard,19,0.00019480017673505724,-0.0030450931294738574,0.003397299685708857
impaired_gru,10,flow_proxy,Q1-easy,19,42.50919585670808,12.260965439778632,78.00784399496581
impaired_gru,10,flow_proxy,Q2-moderate,18,1.3592114947258678,-48.72582875528703,49.60134453037133
impaired_gru,10,flow_proxy,Q3-hard,18,-50.38430034122515,-101.34334564548428,-2.811656249790449
impaired_gru,10,flow_proxy,Q4-very-hard,19,20.861817868584023,-24.07669617364586,65.90679022772929
impaired_gru,10,speed_mean_kmh,Q1-easy,19,0.010861944117825017,-0.00010044667101190767,0.026695683394415727
impaired_gru,10,speed_mean_kmh,Q2-moderate,18,0.005343490004720379,-9.908556831673869e-05,0.010498009375839617
impaired_gru,10,speed_mean_kmh,Q3-hard,18,-0.0011246824044285713,-0.006551332916425235,0.004215699930680235
impaired_gru,10,speed_mean_kmh,Q4-very-hard,19,0.005920205799966292,-0.0033362092588135753,0.016128205420142053
impaired_gru,10,vehicle_count,Q1-easy,19,0.00528386710420378,-0.0027295587361406415,0.016320118238373447
impaired_gru,10,vehicle_count,Q2-moderate,18,3.89557411814814e-05,-0.00455461915198748,0.004559268766548722
impaired_gru,10,vehicle_count,Q3-hard,18,0.0019047720015324522,-0.002180770363266281,0.0057653585241053944
impaired_gru,10,vehicle_count,Q4-very-hard,19,0.003387143548520503,-0.0013982796977953951,0.007960098836406786
impaired_gru,30,flow_proxy,Q1-easy,19,70.56360541806708,49.15142182394306,91.4850091471039
impaired_gru,30,flow_proxy,Q2-moderate,18,5.7287021118975945,-34.998338695011,52.65439549862145
impaired_gru,30,flow_proxy,Q3-hard,18,60.64518267650894,15.086114397823106,105.85903684207719
impaired_gru,30,flow_proxy,Q4-very-hard,19,34.256082760206866,-10.320018458305034,81.25677776861323
impaired_gru,30,speed_mean_kmh,Q1-easy,19,-0.0036900840160191536,-0.0108993157378469,0.005745206514947787
impaired_gru,30,speed_mean_kmh,Q2-moderate,18,-0.002332759902196576,-0.00842811088316034,0.00493365697577722
impaired_gru,30,speed_mean_kmh,Q3-hard,18,0.0012847454645978917,-0.0027403539531568556,0.005587376789315278
impaired_gru,30,speed_mean_kmh,Q4-very-hard,19,0.0019801441494321794,-0.007180064637176248,0.014016334042242541
impaired_gru,30,vehicle_count,Q1-easy,19,0.0074861614474899425,0.002599673931766818,0.013343433895207733
impaired_gru,30,vehicle_count,Q2-moderate,18,-0.004231165363370253,-0.01111779435426463,0.002078952792367204
impaired_gru,30,vehicle_count,Q3-hard,18,0.002086692763372021,-0.0036272395873084306,0.007290476979673826
impaired_gru,30,vehicle_count,Q4-very-hard,19,-0.006566136259284886,-0.014226508455630081,0.00045214453491294036
persistence,5,flow_proxy,Q1-easy,19,23.72365726837023,0.0,68.76175188033238
persistence,5,flow_proxy,Q2-moderate,18,13.471711126342294,0.0,40.415133379026884
persistence,5,flow_proxy,Q3-hard,18,15.459075877024791,0.0,46.37722763107437
persistence,5,flow_proxy,Q4-very-hard,19,50.982579959071074,0.0,152.94773987721322
persistence,5,speed_mean_kmh,Q1-easy,19,0.013724186893528384,0.0,0.03731781104099017
persistence,5,speed_mean_kmh,Q2-moderate,18,0.0009460621823635446,0.0,0.002838186547090634
persistence,5,speed_mean_kmh,Q3-hard,18,0.0009475511558637942,0.0,0.002842653467591383
persistence,5,speed_mean_kmh,Q4-very-hard,19,0.004577233391553096,0.0,0.013731700174659288
persistence,5,vehicle_count,Q1-easy,19,0.007765316293888938,0.0,0.023295948881666816
persistence,5,vehicle_count,Q2-moderate,18,0.0009107468995002637,0.0,0.002732240698500791
persistence,5,vehicle_count,Q3-hard,18,0.000910746972740073,0.0,0.002732240918220219
persistence,5,vehicle_count,Q4-very-hard,19,-0.0008628129215432212,-0.0025884387646296636,0.0
persistence,10,flow_proxy,Q1-easy,19,84.88887538913714,0.0,252.25740624263275
persistence,10,flow_proxy,Q2-moderate,18,-13.471711126342294,-40.415133379026884,0.0
persistence,10,flow_proxy,Q3-hard,18,15.459075877024993,0.0,46.37722763107498
persistence,10,flow_proxy,Q4-very-hard,19,7.232027111597793,0.0,21.696081334793377
persistence,10,speed_mean_kmh,Q1-easy,19,0.013922399928923605,0.0,0.037912450147175786
persistence,10,speed_mean_kmh,Q2-moderate,18,-0.0009460621823635446,-0.002838186547090634,0.0
persistence,10,speed_mean_kmh,Q3-hard,18,0.0009475511558637942,0.0,0.002842653467591383
persistence,10,speed_mean_kmh,Q4-very-hard,19,0.0010771928518142086,0.0,0.0032315785554426256
persistence,10,vehicle_count,Q1-easy,19,0.007765316293888938,0.0,0.023295948881666816
persistence,10,vehicle_count,Q2-moderate,18,-0.0009107468995002513,-0.002732240698500754,0.0
persistence,10,vehicle_count,Q3-hard,18,0.000910746972740073,0.0,0.002732240918220219
persistence,10,vehicle_count,Q4-very-hard,19,0.0008628129215389147,0.0,0.0025884387646167442
persistence,30,flow_proxy,Q1-easy,19,72.81144030439961,-3.613829887168609,222.04815080036747
